aah	a cry of delight
anthracite	a hard, clean-burning coal
anthrax	a dangerous bacterial disease
anthropogenic	caused by human activity
anthropoid	resembling a human
anthropological	relating to studying humans
anthropologist	one who studies human societies
anthropology	the study of human societies
anthropometric	relating to body measurements
anthropomorphic	given human qualities
anthropomorphism	giving human traits to non-humans
antiaircraft	designed to attack aircraft
antibacterial	killing harmful bacteria
antibiotic	killing or stopping bacteria
antibody	a protein fighting infection
antic	playful and silly
anticancer	fighting against cancer
anticholinergic	blocking certain nerve signals
anticipate	to expect something beforehand
anticipated	expected beforehand
anticipation	the act of expecting something
anticipatory	showing expectation beforehand
anticlimactic	disappointingly less exciting than expected
anticlimax	a disappointing end to something
anticoagulant	preventing blood from clotting
anticoagulation	prevention of blood clotting
anticonvulsant	preventing seizures
antidepressant	treating feelings of depression
antidote	a remedy against poison
antifreeze	a liquid preventing freezing
antifungal	killing fungal infections
antigen	a substance triggering immune response
antigenic	able to trigger immunity
antihero	a flawed, non-traditional main character
antihistamine	a drug relieving allergy symptoms
antihypertensive	lowering high blood pressure
antimalarial	preventing or treating malaria
antimatter	matter made of opposite particles
antimicrobial	killing harmful microorganisms
antimony	a brittle metallic element
antioxidant	protecting cells from damage
antipathy	a strong dislike
antiphon	a hymn sung in response
antipodes	opposite sides of earth
antipsychotic	treating severe mental illness
antiquarian	relating to old, rare objects
antiquary	a collector of old objects
antiquated	old-fashioned and outdated
antique	old and valuable
antiquity	ancient times
antisemitic	hostile toward jewish people
antisemitism	hostility toward jewish people
antiseptic	preventing infection
antisocial	avoiding or disliking company
antitank	designed to destroy tanks
antithesis	the exact opposite
antithetical	being the exact opposite
antitoxin	a substance neutralizing poison
antitrust	preventing unfair business monopolies
antitumor	fighting against tumors
antiviral	fighting viral infections
antler	a branching horn on deer
antsy	restless and impatient
anus	the body's rear opening
anvil	a metal-hammering block
anxiolytic	reducing feelings of anxiety
anxious	worried or nervous
anxiously	in a worried way
anyhow	in any case
anyplace	in any location
anyways	in any case
aorta	the body's main artery
aortic	relating to the main artery
apace	quickly, at a fast pace
apache	a native american people
apartheid	a system of racial segregation
apathetic	showing no interest or concern
apathy	a lack of interest
apatite	a common mineral
ape	a large tailless primate
aperitif	a drink before a meal
aperture	an opening letting in light
apex	the highest point
aphasia	loss of ability to speak
aphid	a tiny plant-eating insect
aphorism	a short, wise saying
aphrodisiac	arousing sexual desire
apiary	a bee-keeping place
apical	located at the top
apiece	for each one
aplomb	calm confidence
apnea	a pause in breathing
apocalypse	a huge, catastrophic event
apocalyptic	relating to total destruction
apocryphal	probably not true or genuine
apogee	the highest point
apolitical	not interested in politics
apologetic	showing regret for wrongdoing
apologetically	in a regretful, sorry way
apologetics	reasoned defense of beliefs
apologia	a formal written defense
apologise	to say sorry
apologist	a person who defends something
apologize	to say sorry
apology	a statement of regret
apoplectic	furious and red-faced
apoplexy	a stroke or rage fit
apoptosis	programmed death of a cell
apostasy	abandoning one's belief
apostate	having abandoned one's faith
apostle	an early follower of jesus
apostolic	relating to the apostles
apostrophe	a punctuation mark showing possession
apothecary	an old-time pharmacist
apotheosis	the highest point of glory
appalled	shocked and horrified
appalling	shockingly bad
appallingly	in a shockingly bad way
apparatus	equipment for a task
apparel	clothing
apparition	a ghostly figure
appealing	attractive or pleasing
appearing	coming into view
appease	to calm by giving in
appeasement	giving in to keep peace
appeasing	calming by giving in
appellant	relating to an appeal
appellate	relating to legal appeals
appellation	a name or title
append	to add to the end
appendage	a limb or attached part
appendectomy	surgery to remove the appendix
appendicitis	inflammation of the appendix
appendix	an added book section
appetising	looking or smelling delicious
appetite	a desire for food
appetizer	a small pre-meal dish
appetizing	looking or smelling delicious
applaud	to clap in approval
applause	clapping in approval
applejack	a strong apple brandy
applesauce	cooked, mashed apples
applet	a small computer program
appliance	a household machine
applicability	how well something fits
applicable	relevant or fitting
applicant	a person applying for something
applicator	a substance-applying tool
applique	decorative fabric sewn onto cloth
appoint	to officially choose someone
appointee	a chosen person
apportion	to divide and share out
apportioned	divided and shared out
apportionment	the act of sharing out
apposite	very appropriate
appraisal	a judgment of value
appraise	to judge the value of
appraiser	someone who judges value
appraising	judging value or worth
appreciable	large enough to notice
appreciably	noticeably
appreciated	valued and recognized
appreciation	gratitude or recognition
appreciative	feeling or showing gratitude
apprehend	to arrest or catch
apprehended	caught or arrested
apprehension	a feeling of worry
apprehensive	worried about the future
apprentice	a person learning a trade
apprenticed	placed to learn a trade
apprenticeship	a trade-learning period
approachable	easy to talk to
approaching	coming closer
approbation	official approval
appropriately	in a fitting way
appropriateness	being fitting or suitable
appropriation	money set aside for a purpose
approve	to officially agree to
approving	showing agreement or support
approvingly	in a way showing approval
approximate	close but not exact
approximation	a rough estimate
apricot	a small orange fruit
apron	a clothes-protecting garment
apropos	fitting for the occasion
apse	a church's rounded end
apt	fitting or likely
aptitude	natural skill or talent
aptly	in a fitting way
aqua	a light blue-green color
aquaculture	farming fish and water plants
aquamarine	a blue-green gem
aquarium	a tank for keeping fish
aquatic	living or done in water
aquatics	water-based sports
aqueduct	a bridge carrying water
aqueous	made of or containing water
aquifer	underground water-bearing rock
arabesque	an intricate decorative pattern
arable	suitable for growing crops
arachnid	a spider or related creature
aragonite	a calcium carbonate mineral
arak	a strong aniseed liquor
arb	a price-gap profiteer
arbiter	a person who settles disputes
arbitrage	profiting from price differences
arbitral	relating to arbitration
arbitrarily	without clear reason
arbitrariness	lack of clear reasoning
arbitrary	based on random choice
arbitrate	to settle a dispute
arbitration	formal settling of a dispute
arbitrator	a person who settles disputes
arbor	a shaded garden shelter
arboreal	living in trees
arboretum	a garden of trees
arborist	an expert in tree care
arbour	a shaded garden shelter
arbutus	a small flowering tree
arc	a curved line or path
arcade	a covered walkway of shops
arcadian	peaceful and rural
arcane	mysterious and little understood
arcanum	a deep secret
arch	sly or mischievous
archaeological	relating to ancient remains
